64113;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;White;"""The Gu"" red shirt XML tag t-shirt (White) 5XL";2014-01-20;2014-01-21;Hudson Onslow;Each;72;18.00;1296.00
90464;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;Black;"""The Gu"" red shirt XML tag t-shirt (Black) 6XL";2014-06-13;2014-06-14;Sophia Hinton;Each;120;18.00;2160.00
57138;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;White;"""The Gu"" red shirt XML tag t-shirt (White) 6XL";2013-12-06;2013-12-07;Hudson Hollinworth;Each;84;18.00;1512.00
54618;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;Gray;USB rocket launcher (Gray);2013-11-21;2013-11-22;Hudson Onslow;Each;1;25.00;25.00
57451;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;Small 9mm replacement blades 9mm;2013-12-09;2013-12-10;Lily Code;Each;40;4.10;164.00
57448;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;Blue;20 mm Anti static bubble wrap (Blue) 20m;2013-12-09;2013-12-10;Lily Code;Each;10;45.00;450.00
57137;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;Large sized bubblewrap roll 50m;2013-12-06;2013-12-07;Hudson Hollinworth;Each;10;24.00;240.00
54617;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;Blue;Superhero action jacket (Blue) 4XL;2013-11-21;2013-11-22;Hudson Onslow;Each;1;34.00;34.00
51519;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;32 mm Double sided bubble wrap 20m;2013-11-04;2013-11-05;Sophia Hinton;Each;90;37.00;3330.00
51517;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);Northwind;Red;Ride on vintage American toy coupe (Red) 1/12 scale;2013-11-04;2013-11-05;Sophia Hinton;Each;2;285.00;570.00
60139;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;Furry animal socks (Pink) L;2013-12-27;2013-12-28;Hudson Onslow;Pair;24;5.00;120.00
60138;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;Pack of 12 action figures (variety);2013-12-27;2013-12-28;Hudson Onslow;Packet;5;16.00;80.00
35;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;Blue;Superhero action jacket (Blue) 3XL;2013-01-01;2013-01-02;Kayla Woodcock;Each;2;34.00;68.00
45484;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;32 mm Double sided bubble wrap 10m;2013-09-26;2013-09-27;Amy Trefl;Each;30;22.00;660.00
39477;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;Medium sized bubblewrap roll 20m;2013-08-21;2013-08-22;Hudson Hollinworth;Each;70;20.00;1400.00
8056;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;Blue;20 mm Anti static bubble wrap (Blue) 20m;2013-02-21;2013-02-22;Hudson Hollinworth;Each;90;45.00;4050.00
3118;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;20 mm Double sided bubble wrap 20m;2013-01-18;2013-01-19;Hudson Onslow;Each;60;33.00;1980.00
3116;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;Shipping carton (Brown) 457x457x457mm;2013-01-18;2013-01-19;Hudson Onslow;Each;150;2.10;315.00
8959;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;Shipping carton (Brown) 413x285x187mm;2013-03-01;2013-03-02;Lily Code;Each;25;1.05;26.25
8962;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;Red;Bubblewrap dispenser (Red) 1.5m;2013-03-01;2013-03-02;Lily Code;Each;6;240.00;1440.00
46041;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;Furry animal socks (Pink) M;2013-09-30;2013-10-01;Sophia Hinton;Pair;84;5.00;420.00
29222;Americas;United States;Pennsylvania;Novelty Shop;Wingtip Toys (Rose Tree, PA);N/A;N/A;Furry animal socks (Pink) M;2013-06-24;2013-06-25;Hudson Onslow;Pair;36;5.00;180.00
